,accuracy,clf,f1_score,precision,recall,uncover_percentage
85,0.8675496688741722,AdaBoostClassifier,0.30969267139479906,0.2891832229580574,0.3333333333333333,0.1
86,0.8079470198675497,AdaBoostClassifier,0.41473341473341474,0.4007076514816453,0.4862155388471178,0.1
87,0.8609271523178808,AdaBoostClassifier,0.4157465641742371,0.38656898656898653,0.5333333333333333,0.1
88,0.8609271523178808,AdaBoostClassifier,0.4214141414141414,0.41371158392434987,0.4295190713101161,0.1
89,0.9006622516556292,AdaBoostClassifier,0.49301435406698557,0.4926969222743871,0.49498746867167914,0.1
90,0.8410596026490066,AdaBoostClassifier,0.4544604127937461,0.45549206349206345,0.5560078395899292,0.1
91,0.8807947019867549,AdaBoostClassifier,0.43052311177178454,0.46551724137931033,0.41919191919191917,0.1
92,0.8741721854304636,AdaBoostClassifier,0.39130742549727465,0.39616402116402116,0.3924812030075188,0.1
93,0.7549668874172185,AdaBoostClassifier,0.3110643110643111,0.3140933140933141,0.31351105035315563,0.1
94,0.8741721854304636,AdaBoostClassifier,0.31316725978647686,0.2972972972972973,0.3308270676691729,0.1
95,0.8675496688741722,AdaBoostClassifier,0.30969267139479906,0.2891832229580574,0.3333333333333333,0.1
96,0.9139072847682119,AdaBoostClassifier,0.6552501655476484,0.6541353383458647,0.658464342674869,0.1
97,0.7880794701986755,AdaBoostClassifier,0.2949194547707559,0.28953771289537716,0.3005050505050505,0.1
98,0.847682119205298,AdaBoostClassifier,0.4528508771929824,0.4204413472706155,0.5674185463659148,0.1
99,0.8211920529801324,AdaBoostClassifier,0.417432470064049,0.39303221288515405,0.6290726817042606,0.1
100,0.8802816901408451,RandomForestClassifier,0.31210986267166047,0.2934272300469484,0.3333333333333333,0.15
101,0.8591549295774648,RandomForestClassifier,0.30808080808080807,0.28638497652582157,0.3333333333333333,0.15
102,0.8591549295774648,RandomForestClassifier,0.3104325699745547,0.29683698296836986,0.3253333333333333,0.15
103,0.8591549295774648,RandomForestClassifier,0.36581196581196584,0.4143692564745196,0.35462233887430733,0.15
104,0.8732394366197183,RandomForestClassifier,0.3594061198623936,0.3804347826086956,0.36133333333333334,0.15
105,0.8802816901408451,RandomForestClassifier,0.3952830188679246,0.6264775413711584,0.38095238095238093,0.15
106,0.8732394366197183,RandomForestClassifier,0.4376614987080103,0.4699248120300752,0.4226666666666667,0.15
107,0.8732394366197183,RandomForestClassifier,0.3107769423558897,0.29107981220657275,0.3333333333333333,0.15
108,0.8873239436619719,RandomForestClassifier,0.40441051738761663,0.435036496350365,0.3973333333333333,0.15
109,0.8943661971830986,RandomForestClassifier,0.43152454780361754,0.4088578088578088,0.46577380952380953,0.15
110,0.8873239436619719,RandomForestClassifier,0.410759723736823,0.46618357487922707,0.39999999999999997,0.15
111,0.8802816901408451,RandomForestClassifier,0.31210986267166047,0.29550827423167847,0.3306878306878307,0.15
112,0.8802816901408451,RandomForestClassifier,0.37255574614065184,0.6264775413711584,0.3666666666666667,0.15
113,0.8732394366197183,RandomForestClassifier,0.31077694235588976,0.2931442080378251,0.33066666666666666,0.15
114,0.8732394366197183,RandomForestClassifier,0.3119496855345912,0.29523809523809524,0.33066666666666666,0.15
115,0.8661971830985915,RandomForestClassifier,0.30943396226415093,0.2887323943661972,0.3333333333333333,0.15
116,0.8732394366197183,RandomForestClassifier,0.3107769423558897,0.29107981220657275,0.3333333333333333,0.15
117,0.8380281690140845,RandomForestClassifier,0.3411836985459758,0.3313131313131313,0.3517037037037037,0.15
118,0.8873239436619719,RandomForestClassifier,0.31578947368421056,0.3,0.3333333333333333,0.15
119,0.8732394366197183,RandomForestClassifier,0.3107769423558897,0.29107981220657275,0.3333333333333333,0.15
120,0.8802816901408451,RandomForestClassifier,0.43535539215686275,0.39615384615384613,0.5227513227513227,0.15
121,0.9084507042253521,RandomForestClassifier,0.42940685045948196,0.5289855072463768,0.40480324074074076,0.15
122,0.8732394366197183,RandomForestClassifier,0.45370370370370366,0.4234470691163605,0.5025185185185185,0.15
123,0.8661971830985915,RandomForestClassifier,0.309433962264151,0.29078014184397166,0.33064516129032256,0.15
124,0.8943661971830986,RandomForestClassifier,0.46640316205533594,0.450956450956451,0.48687664041994755,0.15
125,0.8028169014084507,AdaBoostClassifier,0.3508100929614874,0.3384076990376203,0.36774193548387096,0.15
126,0.8380281690140845,AdaBoostClassifier,0.40944574551131935,0.38009986603336987,0.5733333333333334,0.15
127,0.8169014084507042,AdaBoostClassifier,0.4468218056453351,0.4303571428571429,0.5492063492063491,0.15
128,0.8591549295774648,AdaBoostClassifier,0.45748148148148154,0.41962630152617314,0.5544619422572179,0.15
129,0.8943661971830986,AdaBoostClassifier,0.5268661850705194,0.5126614987080104,0.5423280423280423,0.15
130,0.8098591549295775,AdaBoostClassifier,0.41580446843604735,0.3928030303030303,0.6263440860215054,0.15
131,0.852112676056338,AdaBoostClassifier,0.492888398151556,0.47222222222222227,0.5377952755905512,0.15
132,0.8028169014084507,AdaBoostClassifier,0.4187074829931972,0.4051282051282051,0.45943287037037034,0.15
133,0.852112676056338,AdaBoostClassifier,0.4280329470892084,0.40027322404371585,0.4945185185185186,0.15
134,0.8661971830985915,AdaBoostClassifier,0.3984375,0.37222222222222223,0.43637992831541217,0.15
135,0.8169014084507042,AdaBoostClassifier,0.4131545657312161,0.4130706691682302,0.4427474747474747,0.15
136,0.9084507042253521,AdaBoostClassifier,0.5295924636493958,0.5106060606060606,0.5502222222222222,0.15
137,0.8802816901408451,AdaBoostClassifier,0.47217479289192443,0.7201058201058202,0.5196363636363636,0.15
138,0.8661971830985915,AdaBoostClassifier,0.30943396226415093,0.2887323943661972,0.3333333333333333,0.15
139,0.7746478873239436,AdaBoostClassifier,0.5144208037825059,0.5094291539245668,0.5317460317460317,0.15
