,accuracy,clf,f1_score,iterations,precision,recall,sorted_by,uncover_percentage
45,0.6111111111111112,AdaBoostClassifier,0.40483264012675785,25.0,0.43076923076923074,0.5309178743961354,betweenness,0.25
46,0.9206349206349206,RandomForestClassifier,0.31955922865013775,25.0,0.30687830687830686,0.3333333333333333,pagerank,0.25
47,0.9206349206349206,AdaBoostClassifier,0.31955922865013775,25.0,0.30687830687830686,0.3333333333333333,pagerank,0.25
48,0.9285714285714286,RandomForestClassifier,0.4689291802262514,25.0,0.5338753387533876,0.44157088122605365,eigenvector,0.25
49,0.9126984126984127,AdaBoostClassifier,0.31811894882434305,25.0,0.3066666666666667,0.33045977011494254,eigenvector,0.25
50,0.9145299145299145,RandomForestClassifier,0.318452380952381,25.0,0.30484330484330485,0.3333333333333333,degree,0.3
51,0.9145299145299145,AdaBoostClassifier,0.318452380952381,25.0,0.30484330484330485,0.3333333333333333,degree,0.3
52,0.9316239316239316,RandomForestClassifier,0.32153392330383485,25.0,0.31054131054131057,0.3333333333333333,closeness,0.3
53,0.9316239316239316,AdaBoostClassifier,0.32153392330383485,25.0,0.31054131054131057,0.3333333333333333,closeness,0.3
54,0.8461538461538461,RandomForestClassifier,0.308411214953271,25.0,0.308411214953271,0.308411214953271,betweenness,0.3
55,0.905982905982906,AdaBoostClassifier,0.4527813344714753,25.0,0.4579964061096136,0.4628764278296989,betweenness,0.3
56,0.9316239316239316,RandomForestClassifier,0.47092341209988264,25.0,0.4823008849557522,0.4635802469135803,pagerank,0.3
57,0.9230769230769231,AdaBoostClassifier,0.32,25.0,0.3076923076923077,0.3333333333333333,pagerank,0.3
58,0.9230769230769231,RandomForestClassifier,0.5002583979328166,25.0,0.4573208722741433,0.5876543209876544,eigenvector,0.3
59,0.8547008547008547,AdaBoostClassifier,0.30721966205837176,25.0,0.30581039755351686,0.30864197530864196,eigenvector,0.3
60,0.926605504587156,RandomForestClassifier,0.4316239316239316,25.0,0.6419753086419754,0.39999999999999997,degree,0.35
